Publishing,Film & Music,Creative,Entertainment,Arts,Tech,Journalism,Siggy,State
0,0,0,0,1,0,0,0.429586645,0
0,0,1,0,0,0,0,0.426553967,0
0,1,0,0,0,0,0,0.434145521,0
0,0,0,0,0,1,0,0.877746889,0
0,1,0,0,0,0,0,0.41306897,1
0,1,0,0,0,0,0,0.470642943,0
1,0,0,0,0,0,0,0.415812027,0
0,0,0,0,0,1,0,0.412624822,1
0,0,0,0,1,0,0,0.396667457,1
0,1,0,0,0,0,0,0.413384964,0
0,1,0,0,0,0,0,0.41202451,1
0,0,0,0,1,0,0,0.4105547,1
0,0,0,0,1,0,0,0.476713101,0
0,1,0,0,0,0,0,0.406331721,1
0,0,0,0,0,1,0,0.411768207,1
1,0,0,0,0,0,0,0.439573633,0
0,0,1,0,0,0,0,0.443458439,0
0,1,0,0,0,0,0,0.410145954,1
0,0,0,1,0,0,0,0.411874473,1
0,1,0,0,0,0,0,0.412534133,1
1,0,0,0,0,0,0,0.508917912,0
0,1,0,0,0,0,0,0.413072098,1
0,1,0,0,0,0,0,0.406182325,1
0,1,0,0,0,0,0,0.412602931,1
0,0,1,0,0,0,0,0.829582424,0
0,0,0,0,0,1,0,0.430608216,0
0,1,0,0,0,0,0,0.412940715,1
0,0,0,0,1,0,0,0.41052488,1
0,0,0,0,1,0,0,0.39658717,1
0,0,1,0,0,0,0,0.398132106,1
0,0,0,0,1,0,0,0.411533825,1
1,0,0,0,0,0,0,0.423668574,0
1,0,0,0,0,0,0,0.474894788,0
0,0,0,1,0,0,0,0.41306897,1
0,1,0,0,0,0,0,0.409791289,1
0,1,0,0,0,0,0,0.412321507,1
0,0,0,0,1,0,0,0.412925075,1
0,0,1,0,0,0,0,0.428796366,0
0,1,0,0,0,0,0,0.43814055,0
0,0,0,0,1,0,0,0.411133906,1
0,0,0,0,1,0,0,0.412912563,1
1,0,0,0,0,0,0,0.412915691,1
0,1,0,0,0,0,0,0.42358666,0
0,0,0,0,0,1,0,0.439061928,0
0,1,0,0,0,0,0,0.411149525,1
0,1,0,0,0,0,0,0.436508538,0
0,1,0,0,0,0,0,0.405550385,1
1,0,0,0,0,0,0,0.41188385,1
0,1,0,0,0,0,0,0.417847648,0
0,0,0,0,1,0,0,0.444458618,0
0,0,0,1,0,0,0,0.422928348,0
0,1,0,0,0,0,0,0.439732574,0
0,0,0,0,1,0,0,0.412718644,1
0,0,0,0,1,0,0,0.412402801,1
1,0,0,0,0,0,0,0.424220029,0
0,1,0,0,0,0,0,0.430753751,0
0,0,0,0,0,1,0,0.663121816,0
0,0,0,1,0,0,0,0.428616233,0
0,0,0,0,0,1,0,0.494699686,0
1,0,0,0,0,0,0,0.41232776,1
0,0,0,0,1,0,0,0.414079775,0
0,0,0,0,1,0,0,0.411961993,1
0,0,1,0,0,0,0,0.458821957,0
0,1,0,0,0,0,0,0.407638521,1
0,0,1,0,0,0,0,0.445927848,0
0,1,0,0,0,0,0,0.43660058,0
1,0,0,0,0,0,0,0.441618548,0
0,0,0,0,1,0,0,0.411974496,1
0,0,1,0,0,0,0,0.469585443,0
0,1,0,0,0,0,0,0.604180472,0
0,0,0,0,1,0,0,0.411786959,1
0,1,0,0,0,0,0,0.572914715,0
0,0,0,0,1,0,0,0.412556023,1
1,0,0,0,0,0,0,0.435918302,0
0,0,0,0,1,0,0,0.428796366,0
0,0,0,1,0,0,0,0.416015774,0
0,0,0,1,0,0,0,0.548571696,0
0,0,0,0,1,0,0,0.41730161,0
0,1,0,0,0,0,0,0.414637124,0
0,1,0,0,0,0,0,0.411133906,1
0,0,0,1,0,0,0,0.40454074,1
0,0,0,1,0,0,0,0.460600656,0
0,0,0,0,1,0,0,0.413025174,1
0,1,0,0,0,0,0,0.508953385,0
1,0,0,0,0,0,0,0.390422167,1
0,1,0,0,0,0,0,0.416203874,0
0,0,0,1,0,0,0,0.414136126,0
0,0,1,0,0,0,0,0.388081662,1
0,0,0,0,1,0,0,0.41777232,0
0,1,0,0,0,0,0,0.412959483,1
1,0,0,0,0,0,0,0.417220036,0
0,1,0,0,0,0,0,0.420914176,0
0,0,1,0,0,0,0,0.410887139,1
0,1,0,0,0,0,0,0.412931331,1
0,0,0,0,1,0,0,0.491129092,0
0,1,0,0,0,0,0,0.43164304,0
0,0,0,0,1,0,0,0.453364419,0
0,0,1,0,0,0,0,0.411021449,1
1,0,0,0,0,0,0,0.414223788,0
0,0,0,0,0,1,0,0.409448044,1
0,0,0,0,1,0,0,0.428796366,0
0,0,0,0,1,0,0,0.444347111,0
0,0,1,0,0,0,0,0.37003489,1
0,0,0,0,1,0,0,0.416203874,0
0,1,0,0,0,0,0,0.418196087,0
0,0,1,0,0,0,0,0.220664706,1
0,0,0,1,0,0,0,0.410237639,1
0,0,0,0,1,0,0,0.41204014,1
0,0,0,0,1,0,0,0.45104708,0
0,0,1,0,0,0,0,0.431342341,0
1,0,0,0,0,0,0,0.426459283,0
0,1,0,0,0,0,0,0.424355558,0
0,0,1,0,0,0,0,0.718906547,0
0,1,0,0,0,0,0,0.343815182,1
0,1,0,0,0,0,0,0.073484521,1
0,0,1,0,0,0,0,0.673254254,0
0,0,0,0,1,0,0,0.411888038,1
0,0,1,0,0,0,0,0.382803162,1
0,0,0,1,0,0,0,0.441583548,0
1,0,0,0,0,0,0,0.412194885,1
0,1,0,0,0,0,0,0.412540387,1
0,0,0,0,1,0,0,0.410375007,1
0,0,0,0,0,0,1,0.414621465,0
0,1,0,0,0,0,0,0.4160001,0
0,0,0,0,1,0,0,0.42942856,0
0,1,0,0,0,0,0,0.71867964,0
0,0,0,0,1,0,0,0.424850494,0
0,0,0,1,0,0,0,0.572914715,0
0,1,0,0,0,0,0,0.416736957,0
0,1,0,0,0,0,0,0.505918578,0
0,0,0,0,1,0,0,0.410568595,1
0,0,0,0,1,0,0,0.40415165,1
0,0,0,0,0,1,0,0.422487526,0
0,0,0,0,1,0,0,0.414026557,0
0,1,0,0,0,0,0,0.946572917,0
1,0,0,0,0,0,0,0.411774458,1
1,0,0,0,0,0,0,0.412268355,1
0,1,0,0,0,0,0,0.428796366,0
0,0,0,1,0,0,0,0.324311319,1
0,1,0,0,0,0,0,0.412868773,1
0,0,0,0,1,0,0,0.423999424,0
0,0,0,0,1,0,0,0.316531517,1
0,0,0,0,1,0,0,0.413040815,1
1,0,0,0,0,0,0,0.444665718,0
0,1,0,0,0,0,0,0.428796366,0
0,0,0,1,0,0,0,0.524579692,0
1,0,0,0,0,0,0,0.460421137,0
1,0,0,0,0,0,0,0.414637124,0
0,1,0,0,0,0,0,0.412540387,1
0,0,0,0,1,0,0,0.41203467,1
0,1,0,0,0,0,0,0.971237503,0
0,1,0,0,0,0,0,0.829553234,0
1,0,0,0,0,0,0,0.457441383,0
0,1,0,0,0,0,0,0.420646865,0
0,1,0,0,0,0,0,0.404406472,1
0,1,0,0,0,0,0,0.421911496,0
0,1,0,0,0,0,0,0.412030762,1
0,1,0,0,0,0,0,0.41284375,1
0,0,0,1,0,0,0,0.296155687,1
0,1,0,0,0,0,0,0.422393081,0
0,1,0,0,0,0,0,0.445358241,0
0,0,1,0,0,0,0,4.68646E-06,1
0,0,1,0,0,0,0,0.477234574,0
0,0,0,0,1,0,0,0.414558831,0
0,0,0,0,0,1,0,0.374987252,1
0,0,0,1,0,0,0,0.460642331,0
0,0,1,0,0,0,0,0.420914176,0
0,1,0,0,0,0,0,0.428417161,0
0,1,0,0,0,0,0,0.424487947,0
1,0,0,0,0,0,0,0.425266736,0
0,0,1,0,0,0,0,0.718645725,0
0,0,1,0,0,0,0,0.508524483,0
1,0,0,0,0,0,0,0.460648743,0
1,0,0,0,0,0,0,0.41824004,0
0,1,0,0,0,0,0,0.414580753,0
0,0,1,0,0,0,0,0.422896857,0
0,0,0,0,1,0,0,0.411246371,1
0,0,0,0,1,0,0,0.409978551,1
0,1,0,0,0,0,0,0.412502862,1
0,0,0,1,0,0,0,0.41993636,0
0,0,1,0,0,0,0,0.417216898,0
1,0,0,0,0,0,0,0.408178808,1
0,0,1,0,0,0,0,0.413854393,0
0,0,0,0,1,0,0,0.528278992,0
0,1,0,0,0,0,0,0.420898451,0
0,1,0,0,0,0,0,0.412446577,1
0,0,0,0,0,1,0,0.444665718,0
1,0,0,0,0,0,0,0.507711794,0
0,0,0,0,1,0,0,0.428650994,0
0,1,0,0,0,0,0,0.420851275,0
0,0,0,1,0,0,0,0.435984932,0
0,0,0,1,0,0,0,0.088768435,1
0,0,0,0,1,0,0,0.412574786,1
0,0,0,0,1,0,0,0.416163117,0
0,1,0,0,0,0,0,0.474203036,0
0,1,0,0,0,0,0,0.416831051,0
0,0,0,0,1,0,0,0.407371748,1
0,0,1,0,0,0,0,0.400970778,1
0,1,0,0,0,0,0,0.411721327,1
0,0,0,0,1,0,0,0.443069958,0
1,0,0,0,0,0,0,0.718906547,0
0,1,0,0,0,0,0,0.412925075,1
0,0,0,1,0,0,0,0.398329943,1
0,1,0,0,0,0,0,0.45120683,0
0,0,1,0,0,0,0,0.412593549,1
0,0,0,0,1,0,0,0.504363904,0
0,0,0,0,1,0,0,0.395346535,1
0,0,0,0,1,0,0,0.413729197,0
0,0,0,0,1,0,0,0.414464886,0
0,0,1,0,0,0,0,0.718906547,0
0,1,0,0,0,0,0,0.426913813,0
0,0,0,0,0,1,0,0.413072098,1
0,0,0,0,0,1,0,0.70021763,0
0,0,0,0,1,0,0,0.422440303,0
0,0,0,0,0,1,0,0.416172523,0
0,0,1,0,0,0,0,0.411868222,1
0,1,0,0,0,0,0,0.412261102,1
0,0,1,0,0,0,0,0.438715567,0
